Date,Value,10_mean
2016-09-11,621.65,
2016-09-12,609.67,
2016-09-13,610.92,
2016-09-14,608.82,
2016-09-15,610.38,
2016-09-16,609.11,
2016-09-17,607.04,
2016-09-18,611.58,
2016-09-19,610.19,
2016-09-20,608.66,610.802
2016-09-21,598.88,608.5250000000001
2016-09-22,597.42,607.3000000000001
2016-09-23,594.08,605.6160000000001
2016-09-24,603.88,605.1220000000001
2016-09-25,601.74,604.258
2016-09-26,598.98,603.2450000000001
2016-09-27,605.96,603.1370000000001
2016-09-28,605.67,602.546
2016-09-29,603.85,601.912
2016-09-30,609.39,601.9850000000001
2016-10-01,614.82,603.5790000000001
2016-10-02,612.98,605.135
2016-10-03,611.85,606.912
2016-10-04,609.62,607.4860000000001
2016-10-05,607.18,608.0300000000001
2016-10-06,612.08,609.3400000000001
2016-10-07,617.21,610.4650000000001
2016-10-08,614.74,611.3720000000001
2016-10-09,615.65,612.552
2016-10-10,617.54,613.367
2016-10-11,614.77,613.3620000000001
2016-10-12,635.01,615.5650000000002
2016-10-13,635.96,617.9760000000001
2016-10-14,634.02,620.4160000000002
2016-10-15,637.94,623.4920000000002
2016-10-16,641.42,626.4260000000002
2016-10-17,638.97,628.6020000000002
2016-10-18,636.29,630.7570000000003
2016-10-19,629.25,632.1170000000003
2016-10-20,627.72,633.1350000000003
2016-10-21,631.92,634.8500000000004
2016-10-22,655.48,636.8970000000003
2016-10-23,653.25,638.6260000000003
2016-10-24,651.39,640.3630000000004
2016-10-25,655.31,642.1000000000004
2016-10-26,651.45,643.1030000000003
2016-10-27,682.22,647.4280000000003
2016-10-28,687.68,652.5670000000003
2016-10-29,685.91,658.2330000000004
2016-10-30,698.0,665.2610000000003
2016-10-31,702.0,672.2690000000003
2016-11-01,697.01,676.4220000000003
2016-11-02,733.33,684.4300000000003
2016-11-03,686.17,687.9080000000002
2016-11-04,683.69,690.7460000000003
2016-11-05,704.79,696.0800000000003
2016-11-06,712.0,699.0580000000002
2016-11-07,709.96,701.2860000000003
2016-11-08,708.97,703.5920000000003
2016-11-09,720.93,705.8850000000003
2016-11-10,721.5,707.8350000000003
2016-11-11,715.45,709.6790000000003
2016-11-12,703.71,706.7170000000003
2016-11-13,702.28,708.3280000000002
2016-11-14,706.46,710.6050000000002
2016-11-15,710.91,711.2170000000002
2016-11-16,711.73,711.1900000000002
2016-11-17,736.96,713.8900000000001
2016-11-18,747.52,717.7450000000001
2016-11-19,748.98,720.55
2016-11-20,729.06,721.3059999999999
2016-11-21,738.53,723.6139999999999
2016-11-22,736.97,726.9399999999999
2016-11-23,741.63,730.875
2016-11-24,737.45,733.9739999999999
2016-11-25,735.64,736.447
2016-11-26,733.67,738.641
2016-11-27,727.96,737.741
2016-11-28,727.31,735.7199999999999
2016-11-29,732.71,734.093
2016-11-30,742.69,735.4559999999999
2016-12-01,742.05,735.808
2016-12-02,772.43,739.354
2016-12-03,764.33,741.624
2016-12-04,762.97,744.176
2016-12-05,754.63,746.075
2016-12-06,756.62,748.37
2016-12-07,758.99,751.473
2016-12-08,769.72,755.714
2016-12-09,770.02,759.445
2016-12-10,769.08,762.0840000000001
2016-12-11,777.0,765.579
2016-12-12,777.0,766.036
2016-12-13,777.99,767.4019999999999
2016-12-14,774.89,768.5939999999999
2016-12-15,776.75,770.8059999999999
2016-12-16,775.88,772.732
2016-12-17,788.7,775.703
2016-12-18,788.4,777.5709999999999
2016-12-19,788.67,779.4359999999999
2016-12-20,793.09,781.8369999999999
2016-12-21,824.21,786.5579999999999
2016-12-22,834.97,792.3549999999999
2016-12-23,901.31,804.6869999999999
2016-12-24,891.61,816.3589999999998
2016-12-25,892.6,827.9439999999998
2016-12-26,897.33,840.0889999999999
2016-12-27,930.37,854.256
2016-12-28,930.34,868.45
2016-12-29,963.38,885.9209999999999
2016-12-30,952.15,901.8269999999999
2016-12-31,958.12,915.2179999999998
2017-01-01,997.72,931.4929999999998
2017-01-02,1015.97,942.9589999999998
2017-01-03,1013.42,955.1399999999998
2017-01-04,1126.76,978.5559999999998
