Date,USD (PM),10_mean
2016-09-12,1324.6,
2016-09-13,1323.65,
2016-09-14,1321.75,
2016-09-15,1310.8,
2016-09-16,1308.35,
2016-09-19,1314.85,
2016-09-20,1313.8,
2016-09-21,1326.1,
2016-09-22,1339.1,
2016-09-23,1338.65,1322.165
2016-09-26,1340.5,1323.7549999999999
2016-09-27,1327.0,1324.09
2016-09-28,1322.5,1324.165
2016-09-29,1318.1,1324.895
2016-09-30,1322.5,1326.31
2016-10-03,1313.3,1326.155
2016-10-04,1283.3,1323.105
2016-10-05,1269.4,1317.435
2016-10-06,1254.5,1308.975
2016-10-07,1258.75,1300.985
2016-10-10,1259.5,1292.8849999999998
2016-10-11,1253.45,1285.53
2016-10-12,1256.5,1278.9299999999998
2016-10-13,1261.05,1273.225
2016-10-14,1251.75,1266.1499999999999
2016-10-17,1254.8,1260.2999999999997
2016-10-18,1258.2,1257.79
2016-10-19,1269.05,1257.7549999999999
2016-10-20,1271.65,1259.4699999999998
2016-10-21,1266.05,1260.1999999999998
2016-10-24,1265.55,1260.8049999999998
2016-10-25,1269.4,1262.3999999999996
2016-10-26,1270.5,1263.7999999999997
2016-10-27,1266.25,1264.3199999999997
2016-10-28,1273.0,1266.4449999999997
2016-10-31,1272.0,1268.1649999999997
2016-11-01,1288.45,1271.1899999999998
2016-11-02,1303.75,1274.6599999999999
2016-11-03,1301.0,1277.5949999999998
2016-11-04,1302.8,1281.27
2016-11-07,1283.05,1283.02
2016-11-08,1282.35,1284.315
2016-11-09,1281.4,1285.405
2016-11-10,1267.5,1285.53
2016-11-11,1236.45,1281.875
2016-11-14,1213.6,1276.035
2016-11-15,1226.95,1269.885
2016-11-16,1229.2,1262.43
2016-11-17,1226.75,1255.005
2016-11-18,1211.0,1245.8250000000003
2016-11-21,1214.25,1238.9450000000002
2016-11-22,1212.25,1231.9350000000002
2016-11-23,1185.35,1222.3300000000004
2016-11-24,1186.1,1214.1900000000003
2016-11-25,1187.7,1209.3150000000003
2016-11-28,1187.0,1206.6550000000002
2016-11-29,1186.55,1202.6150000000002
2016-11-30,1178.1,1197.505
2016-12-01,1161.85,1191.015
2016-12-02,1173.5,1187.265
2016-12-05,1162.2,1182.0600000000002
2016-12-06,1172.5,1178.0850000000003
2016-12-07,1177.65,1177.315
2016-12-08,1171.05,1175.81
2016-12-09,1163.6,1173.4
2016-12-12,1156.1,1170.31
2016-12-13,1158.55,1167.51
2016-12-14,1162.25,1165.925
2016-12-15,1126.95,1162.435
2016-12-16,1131.6,1158.2450000000001
2016-12-19,1136.25,1155.65
2016-12-20,1125.7,1150.97
2016-12-21,1133.65,1146.5700000000002
2016-12-22,1131.35,1142.6000000000001
2016-12-28,1134.6,1139.7000000000003
2016-12-29,1145.9,1138.68
2017-01-03,1151.0,1137.9250000000002
2017-01-04,1164.25,1138.1250000000002
2017-01-05,1176.7,1143.1000000000001
2017-01-06,1175.85,1147.525
2017-01-09,1178.5,1151.7500000000002
2017-01-10,1189.5,1158.13
2017-01-11,1178.55,1162.6200000000001
2017-01-12,1205.05,1169.99
2017-01-13,1190.35,1175.565
2017-01-16,1203.0,1181.275
2017-01-17,1216.05,1187.78
2017-01-18,1214.75,1192.83
2017-01-19,1196.05,1194.7649999999999
2017-01-20,1200.55,1197.2349999999997
2017-01-23,1212.85,1200.6699999999996
2017-01-24,1216.8,1203.3999999999996
2017-01-25,1195.0,1205.0449999999996
2017-01-26,1189.7,1203.5099999999998
2017-01-27,1184.85,1202.9599999999998
2017-01-30,1192.8,1201.9399999999998
2017-01-31,1212.8,1201.6149999999998
2017-02-01,1203.65,1200.5049999999997
2017-02-02,1221.95,1203.0949999999998
2017-02-03,1215.2,1204.56
2017-02-06,1226.75,1205.95
2017-02-07,1231.0,1207.3700000000001
2017-02-08,1242.1,1212.0800000000002
2017-02-09,1236.8,1216.79
2017-02-10,1228.3,1221.1349999999998
2017-02-13,1222.25,1224.08
2017-02-14,1230.75,1225.875
2017-02-15,1224.4,1227.95
2017-02-16,1240.55,1229.81
2017-02-17,1241.95,1232.485
2017-02-20,1237.3,1233.5399999999997
2017-02-21,1233.2,1233.7599999999998
2017-02-22,1236.65,1233.2149999999997
2017-02-23,1247.9,1234.3249999999998
2017-02-24,1253.65,1236.86
2017-02-27,1257.2,1240.355
2017-02-28,1255.6,1242.84
2017-03-01,1240.4,1244.44
2017-03-02,1238.1,1244.1950000000002
2017-03-03,1226.5,1242.65
2017-03-06,1230.95,1242.015
2017-03-07,1216.65,1240.3600000000001
2017-03-08,1209.2,1237.6150000000002
2017-03-09,1206.55,1233.48
2017-03-10,1202.65,1228.38
2017-03-13,1204.2,1223.0800000000002
2017-03-14,1204.6,1217.98
2017-03-15,1198.8,1213.8200000000002
2017-03-16,1229.35,1212.9450000000002
2017-03-17,1229.6,1213.255
2017-03-20,1232.4,1213.4
2017-03-21,1241.6,1215.895
2017-03-22,1249.05,1219.8799999999999
2017-03-23,1247.5,1223.975
2017-03-24,1247.5,1228.46
2017-03-27,1257.55,1233.7949999999998
2017-03-28,1257.25,1239.06
2017-03-29,1251.1,1244.29
2017-03-30,1248.8,1246.235
2017-03-31,1244.85,1247.7599999999998
2017-04-03,1247.25,1249.245
2017-04-04,1257.65,1250.85
2017-04-05,1245.8,1250.5249999999999
2017-04-06,1252.5,1251.0249999999999
2017-04-07,1266.45,1252.9199999999998
2017-04-10,1250.05,1252.1699999999998
2017-04-11,1252.9,1251.735
2017-04-12,1274.3,1254.0549999999998
2017-04-13,1284.15,1257.5899999999997
2017-04-18,1278.95,1260.9999999999998
2017-04-19,1279.05,1264.1799999999998
2017-04-20,1282.1,1266.6249999999998
2017-04-21,1281.85,1270.23
2017-04-24,1269.4,1271.9199999999998
2017-04-25,1267.8,1272.0549999999998
2017-04-26,1261.85,1273.235
2017-04-27,1262.8,1274.225
2017-04-28,1266.45,1273.44
2017-05-02,1255.45,1270.5700000000002
2017-05-03,1250.3,1267.705
2017-05-04,1228.45,1262.645
2017-05-05,1228.05,1257.24
2017-05-08,1229.8,1252.0349999999999
2017-05-09,1220.4,1247.1349999999998
2017-05-10,1222.95,1242.65
2017-05-11,1223.15,1238.78
2017-05-12,1231.25,1235.625
2017-05-15,1233.3,1232.31
2017-05-16,1234.2,1230.185
2017-05-17,1257.4,1230.895
2017-05-18,1255.9,1233.6399999999999
2017-05-19,1252.0,1236.0349999999999
2017-05-22,1258.85,1238.94
2017-05-23,1260.2,1242.92
2017-05-24,1252.55,1245.8799999999999
2017-05-25,1256.95,1249.26
2017-05-26,1265.05,1252.6399999999999
2017-05-30,1262.7,1255.5800000000002
2017-05-31,1266.2,1258.7800000000002
2017-06-01,1264.85,1259.525
2017-06-02,1274.95,1261.4300000000003
2017-06-05,1279.95,1264.2250000000004
2017-06-06,1293.5,1267.6900000000003
2017-06-07,1291.0,1270.7700000000002
2017-06-08,1273.1,1272.8250000000003
2017-06-09,1266.55,1273.7850000000003
2017-06-12,1266.4,1273.9200000000003
2017-06-13,1262.0,1273.8500000000001
2017-06-14,1275.5,1274.7800000000002
2017-06-15,1254.55,1273.75
2017-06-16,1255.4,1271.7949999999998
2017-06-19,1248.15,1268.6149999999998
2017-06-20,1242.2,1263.485
2017-06-21,1242.5,1258.6349999999998
2017-06-22,1250.8,1256.4049999999997
2017-06-23,1255.7,1255.32
2017-06-26,1245.25,1253.205
2017-06-27,1249.55,1251.9599999999998
2017-06-28,1248.0,1249.2099999999998
2017-06-29,1243.5,1248.105
2017-06-30,1242.25,1246.79
2017-07-03,1229.25,1244.9
2017-07-04,1223.75,1243.0549999999998
